iter	Passed	Remaining
330	806	1629
331	808	1627
332	810	1623
333	811	1618
334	813	1614
335	816	1613
336	817	1609
337	819	1605
338	823	1604
339	824	1601
340	826	1597
341	828	1593
342	830	1590
343	832	1587
344	834	1583
345	835	1580
346	838	1577
347	839	1573
348	841	1569
349	844	1567
350	846	1565
351	848	1561
352	850	1559
353	854	1558
354	855	1554
355	858	1553
356	860	1549
357	862	1546
358	863	1542
359	866	1540
360	868	1537
361	870	1533
362	872	1530
363	874	1527
364	876	1524
365	877	1520
366	880	1519
367	882	1516
368	884	1513
369	887	1510
370	889	1507
371	890	1504
372	892	1500
373	895	1498
374	897	1495
375	898	1491
376	899	1486
377	902	1484
378	904	1481
379	905	1478
380	908	1475
381	910	1473
382	912	1469
383	913	1465
384	915	1462
385	918	1460
386	920	1457
387	922	1454
388	923	1450
389	925	1447
390	927	1443
391	928	1440
392	930	1436
393	931	1433
394	933	1429
395	935	1426
396	937	1423
397	939	1420
398	941	1417
399	942	1413
400	944	1410
401	946	1407
402	948	1404
403	949	1401
404	951	1397
405	954	1396
406	956	1393
407	957	1389
408	959	1386
409	961	1384
410	963	1380
411	964	1376
412	966	1373
413	968	1370
414	969	1366
415	970	1363
416	972	1359
417	973	1355
418	975	1353
419	977	1350
420	979	1346
421	980	1343
422	982	1340
423	984	1337
424	986	1334
425	987	1330
426	988	1327
427	990	1324
428	992	1321
429	994	1318
430	996	1314
431	998	1312
432	1000	1309
433	1001	1306
434	1003	1303
435	1005	1301
436	1007	1297
437	1008	1294
438	1010	1290
439	1011	1287
440	1013	1284
441	1014	1281
442	1016	1278
443	1019	1276
444	1021	1273
445	1022	1270
446	1024	1267
447	1026	1264
448	1028	1261
449	1030	1258
450	1031	1256
451	1034	1253
452	1035	1250
453	1037	1247
454	1039	1244
455	1043	1244
456	1045	1241
457	1046	1238
458	1048	1235
459	1050	1232
460	1051	1229
461	1053	1226
462	1055	1224
463	1057	1221
464	1058	1218
465	1060	1215
466	1061	1211
467	1063	1209
468	1065	1206
469	1066	1202
470	1068	1199
471	1070	1197
472	1072	1194
473	1074	1191
474	1075	1188
475	1078	1186
476	1080	1184
477	1081	1181
478	1083	1177
479	1085	1176
480	1088	1174
481	1090	1172
482	1093	1170
483	1095	1168
484	1097	1165
485	1099	1163
486	1101	1160
487	1103	1157
488	1104	1154
489	1105	1150
490	1108	1149
491	1110	1146
492	1112	1143
493	1113	1140
494	1115	1137
495	1116	1134
496	1118	1131
497	1119	1128
498	1120	1125
499	1122	1122
500	1123	1119
501	1125	1116
502	1126	1112
503	1127	1109
504	1130	1108
505	1132	1105
506	1133	1102
507	1134	1098
508	1136	1095
509	1138	1093
510	1139	1090
511	1141	1087
512	1143	1085
513	1145	1082
514	1146	1079
515	1148	1076
516	1149	1073
517	1150	1070
518	1152	1068
519	1153	1065
520	1155	1062
521	1156	1059
522	1159	1057
523	1160	1054
524	1163	1052
525	1164	1049
526	1167	1047
527	1168	1044
528	1170	1042
529	1171	1039
530	1173	1036
531	1175	1034
532	1177	1031
533	1178	1028
534	1180	1026
535	1182	1023
536	1183	1020
537	1185	1018
538	1186	1015
539	1188	1012
540	1190	1009
541	1191	1007
542	1193	1004
543	1194	1001
544	1196	998
545	1197	995
546	1199	993
547	1200	990
548	1202	987
549	1203	985
550	1205	982
551	1206	979
552	1208	976
553	1209	973
554	1211	971
555	1212	968
556	1214	965
557	1215	963
558	1217	960
559	1219	958
560	1221	955
561	1222	952
562	1224	950
563	1225	947
564	1227	945
565	1229	942
566	1230	940
567	1232	937
568	1234	935
569	1235	932
570	1237	929
571	1238	926
572	1240	924
573	1242	921
574	1243	919
575	1245	916
576	1246	913
577	1248	911
578	1250	909
579	1252	906
580	1253	904
581	1255	901
582	1257	899
583	1259	896
584	1260	894
585	1261	891
586	1264	889
587	1266	887
588	1268	885
589	1271	883
590	1272	880
591	1274	878
592	1276	875
593	1278	873
594	1280	871
595	1282	869
596	1284	867
597	1286	864
598	1287	862
599	1289	859
600	1290	856
601	1292	854
602	1294	852
603	1296	849
604	1297	847
605	1299	844
606	1300	842
607	1302	839
608	1303	836
609	1304	834
610	1306	832
611	1309	829
612	1310	827
613	1312	824
614	1313	822
615	1315	820
616	1317	817
617	1318	815
618	1320	812
619	1322	810
620	1323	807
621	1325	805
622	1326	802
623	1328	800
624	1330	798
625	1331	795
626	1333	793
627	1334	790
628	1336	788
629	1338	786
630	1339	783
631	1341	780
632	1342	778
633	1344	776
634	1346	773
635	1347	771
636	1348	768
637	1351	767
638	1354	765
639	1356	762
640	1358	760
641	1360	758
642	1361	756
643	1362	753
644	1364	751
645	1366	748
646	1368	746
647	1369	743
648	1370	741
649	1372	739
650	1374	736
651	1376	734
652	1377	732
653	1379	729
654	1381	727
655	1383	725
656	1384	723
657	1386	720
658	1389	718
659	1390	716
660	1392	714
661	1395	712
662	1397	710
663	1398	707
664	1400	705
665	1403	703
666	1405	701
667	1406	699
668	1408	697
669	1410	694
670	1412	692
671	1413	690
672	1415	687
673	1418	686
674	1419	683
675	1421	681
676	1423	678
677	1424	676
678	1426	674
679	1427	671
680	1430	669
681	1432	667
682	1434	665
683	1436	663
684	1439	661
685	1441	659
686	1443	657
687	1446	655
688	1449	654
689	1451	651
690	1453	649
691	1455	647
692	1456	645
693	1458	642
694	1460	640
695	1461	638
696	1463	636
697	1464	633
698	1466	631
699	1468	629
700	1469	626
701	1471	624
702	1472	622
703	1474	620
704	1476	617
705	1478	615
706	1480	613
707	1483	611
708	1485	609
709	1486	607
710	1488	605
711	1490	602
712	1492	600
713	1493	598
714	1495	596
715	1497	594
716	1499	591
717	1501	589
718	1503	587
719	1504	585
720	1507	583
721	1509	581
722	1511	579
723	1513	577
724	1515	574
725	1516	572
726	1519	570
727	1521	568
728	1523	566
729	1526	564
730	1528	562
731	1530	560
732	1532	558
733	1534	556
734	1536	553
735	1538	551
736	1540	549
737	1542	547
738	1544	545
739	1545	543
740	1548	541
741	1550	538
742	1551	536
743	1553	534
744	1556	532
745	1558	530
746	1560	528
747	1563	526
748	1566	524
749	1568	522
750	1573	521
751	1575	519
752	1578	517
753	1579	515
754	1581	513
755	1584	511
756	1586	509
757	1587	506
758	1589	504
759	1591	502
760	1593	500
761	1594	497
762	1595	495
763	1596	493
764	1599	491
765	1600	488
766	1602	486
767	1603	484
768	1605	482
769	1607	480
770	1608	477
771	1609	475
772	1611	473
773	1613	471
774	1615	469
775	1617	466
776	1618	464
777	1621	462
778	1622	460
779	1624	458
780	1625	455
781	1627	453
782	1629	451
783	1631	449
784	1632	447
785	1634	444
786	1636	442
787	1637	440
788	1639	438
789	1640	436
790	1642	433
791	1644	431
792	1646	429
793	1647	427
794	1649	425
795	1651	423
796	1653	421
797	1654	418
798	1655	416
799	1657	414
800	1659	412
801	1661	410
802	1662	407
803	1663	405
804	1666	403
805	1668	401
806	1669	399
807	1671	397
808	1673	395
809	1675	392
810	1676	390
811	1678	388
812	1680	386
813	1681	384
814	1683	382
815	1685	379
816	1686	377
817	1688	375
818	1689	373
819	1691	371
820	1692	369
821	1694	366
822	1695	364
823	1696	362
824	1698	360
825	1700	358
826	1702	356
827	1704	354
828	1705	351
829	1707	349
830	1709	347
831	1711	345
832	1712	343
833	1714	341
834	1716	339
835	1718	337
836	1719	334
837	1720	332
838	1723	330
839	1724	328
840	1726	326
841	1727	324
842	1729	322
843	1730	319
844	1732	317
845	1733	315
846	1735	313
847	1737	311
848	1739	309
849	1741	307
850	1742	305
851	1744	303
852	1746	301
853	1748	298
854	1750	296
855	1752	294
856	1754	292
857	1755	290
858	1757	288
859	1759	286
860	1761	284
861	1763	282
862	1765	280
863	1767	278
864	1769	276
865	1770	274
866	1772	271
867	1775	269
868	1776	267
869	1778	265
870	1779	263
871	1781	261
872	1782	259
873	1784	257
874	1785	255
875	1786	252
876	1789	250
877	1791	248
878	1792	246
879	1793	244
880	1796	242
881	1798	240
882	1800	238
883	1802	236
884	1804	234
885	1806	232
886	1807	230
887	1809	228
888	1811	226
889	1812	224
890	1814	221
891	1815	219
892	1817	217
893	1819	215
894	1821	213
895	1822	211
896	1824	209
897	1826	207
898	1828	205
899	1830	203
900	1832	201
901	1834	199
902	1835	197
903	1836	195
904	1838	192
905	1841	191
906	1842	188
907	1843	186
908	1845	184
909	1848	182
910	1849	180
911	1851	178
912	1852	176
913	1855	174
914	1856	172
915	1858	170
916	1860	168
917	1862	166
918	1864	164
919	1865	162
920	1867	160
921	1868	158
922	1870	156
923	1872	154
924	1873	151
925	1875	149
926	1877	147
927	1879	145
928	1880	143
929	1882	141
930	1883	139
931	1886	137
932	1887	135
933	1889	133
934	1890	131
935	1892	129
936	1894	127
937	1895	125
938	1897	123
939	1898	121
940	1900	119
941	1902	117
942	1904	115
943	1906	113
944	1908	111
945	1910	109
946	1911	106
947	1913	104
948	1915	102
949	1917	100
950	1919	98
951	1924	97
952	1925	94
953	1927	92
954	1931	91
955	1933	88
956	1935	86
957	1937	84
958	1939	82
959	1941	80
960	1944	78
961	1946	76
962	1948	74
963	1950	72
964	1952	70
965	1954	68
966	1956	66
967	1958	64
968	1960	62
969	1962	60
970	1964	58
971	1967	56
972	1969	54
973	1971	52
974	1974	50
975	1976	48
976	1978	46
977	1981	44
978	1983	42
979	1985	40
980	1988	38
981	1990	36
982	1992	34
983	1994	32
984	1996	30
985	1998	28
986	1999	26
987	2002	24
988	2003	22
989	2005	20
990	2007	18
991	2010	16
992	2012	14
993	2014	12
994	2017	10
995	2019	8
996	2021	6
997	2023	4
998	2026	2
999	2027	0
